State,Country,Year,Migrants
TAS,South Africa,2021,20
TAS,Iran,2021,0
TAS,Ireland,2021,-10
TAS,Hong Kong,2021,-20
NT,India,2021,-30
NT,China,2021,-60
NT,New Zealand,2021,-80
NT,Philippines,2021,10
NT,Nepal,2021,-40
NT,Sri Lanka,2021,0
NT,Bangladesh,2021,0
NT,Pakistan,2021,-10
NT,Vietnam,2021,10
NT,Indonesia,2021,-10
NT,Afghanistan,2021,0
NT,South Africa,2021,10
NT,Iran,2021,-10
NT,Ireland,2021,-10
NT,Hong Kong,2021,0
ACT,India,2021,-170
ACT,China,2021,-1670
ACT,New Zealand,2021,-30
ACT,Philippines,2021,-20
ACT,Nepal,2021,-60
ACT,Sri Lanka,2021,-30
ACT,Bangladesh,2021,-20
ACT,Pakistan,2021,-20
ACT,Vietnam,2021,-40
ACT,Indonesia,2021,-120
ACT,Afghanistan,2021,20
ACT,South Africa,2021,20
ACT,Iran,2021,10
ACT,Ireland,2021,-20
ACT,Hong Kong,2021,-10
NSW,India,2020,17610
NSW,China,2020,-10240
NSW,New Zealand,2020,-330
NSW,Philippines,2020,5150
NSW,Nepal,2020,7660
NSW,Sri Lanka,2020,980
NSW,Bangladesh,2020,1400
NSW,Pakistan,2020,2090
NSW,Vietnam,2020,2240
NSW,Indonesia,2020,1200
NSW,Afghanistan,2020,610
NSW,South Africa,2020,1870
NSW,Iran,2020,1020
NSW,Ireland,2020,520
NSW,Hong Kong,2020,1090
VIC,India,2020,24270
VIC,China,2020,-4990
VIC,New Zealand,2020,410
VIC,Philippines,2020,4390
VIC,Nepal,2020,2490
VIC,Sri Lanka,2020,3970
VIC,Bangladesh,2020,610
VIC,Pakistan,2020,1880
VIC,Vietnam,2020,2640
VIC,Indonesia,2020,760
VIC,Afghanistan,2020,1440
VIC,South Africa,2020,930
VIC,Iran,2020,930
VIC,Ireland,2020,460
VIC,Hong Kong,2020,780
QLD,India,2020,6380
QLD,China,2020,-1090
QLD,New Zealand,2020,-150
QLD,Philippines,2020,2580
QLD,Nepal,2020,1160
QLD,Sri Lanka,2020,540
QLD,Bangladesh,2020,140
QLD,Pakistan,2020,290
QLD,Vietnam,2020,940
QLD,Indonesia,2020,350
QLD,Afghanistan,2020,210
QLD,South Africa,2020,1680
QLD,Iran,2020,400
QLD,Ireland,2020,80
QLD,Hong Kong,2020,480
SA,India,2020,5240
SA,China,2020,-1080
SA,New Zealand,2020,-20
SA,Philippines,2020,890
SA,Nepal,2020,860
SA,Sri Lanka,2020,520
SA,Bangladesh,2020,160
SA,Pakistan,2020,450
SA,Vietnam,2020,720
SA,Indonesia,2020,60
SA,Afghanistan,2020,410
SA,South Africa,2020,520
SA,Iran,2020,290
SA,Ireland,2020,50
SA,Hong Kong,2020,340
WA,India,2020,4420
WA,China,2020,830
WA,New Zealand,2020,-240
WA,Philippines,2020,1800
WA,Nepal,2020,630
WA,Sri Lanka,2020,780
WA,Bangladesh,2020,200
WA,Pakistan,2020,710
WA,Vietnam,2020,660
WA,Indonesia,2020,1050
WA,Afghanistan,2020,350
WA,South Africa,2020,1180
WA,Iran,2020,250
WA,Ireland,2020,170
WA,Hong Kong,2020,240
TAS,India,2020,490
TAS,China,2020,-310
TAS,New Zealand,2020,40
TAS,Philippines,2020,100
TAS,Nepal,2020,220
TAS,Sri Lanka,2020,50
TAS,Bangladesh,2020,30
TAS,Pakistan,2020,100
TAS,Vietnam,2020,90
TAS,Indonesia,2020,40
TAS,Afghanistan,2020,20
TAS,South Africa,2020,70
TAS,Iran,2020,40
TAS,Ireland,2020,10
TAS,Hong Kong,2020,90
NT,India,2020,380
NT,China,2020,-40
NT,New Zealand,2020,-80
NT,Philippines,2020,200
NT,Nepal,2020,170
NT,Sri Lanka,2020,60
NT,Bangladesh,2020,30
NT,Pakistan,2020,30
NT,Vietnam,2020,80
NT,Indonesia,2020,60
NT,Afghanistan,2020,10
NT,South Africa,2020,70
NT,Iran,2020,10
NT,Ireland,2020,-20
NT,Hong Kong,2020,10
ACT,India,2020,1030
ACT,China,2020,-1670
ACT,New Zealand,2020,10
ACT,Philippines,2020,240
ACT,Nepal,2020,160
ACT,Sri Lanka,2020,70
ACT,Bangladesh,2020,100
ACT,Pakistan,2020,40
ACT,Vietnam,2020,100
ACT,Indonesia,2020,40
ACT,Afghanistan,2020,20
ACT,South Africa,2020,80
ACT,Iran,2020,70
ACT,Ireland,2020,0
ACT,Hong Kong,2020,20
NSW,India,2019,21970
NSW,China,2019,6520
NSW,New Zealand,2019,590
NSW,Philippines,2019,6260
NSW,Nepal,2019,15260
NSW,Sri Lanka,2019,880
NSW,Bangladesh,2019,1380
NSW,Pakistan,2019,2740
NSW,Vietnam,2019,2710
NSW,Indonesia,2019,1640
NSW,Afghanistan,2019,620
NSW,South Africa,2019,1460
NSW,Iran,2019,1170
NSW,Ireland,2019,420
NSW,Hong Kong,2019,630
VIC,India,2019,31670
VIC,China,2019,8260
VIC,New Zealand,2019,1780
VIC,Philippines,2019,4990
VIC,Nepal,2019,4280
VIC,Sri Lanka,2019,4230
VIC,Bangladesh,2019,620
VIC,Pakistan,2019,2820
VIC,Vietnam,2019,3030
VIC,Indonesia,2019,1100
VIC,Afghanistan,2019,1380
VIC,South Africa,2019,1090
VIC,Iran,2019,1100
VIC,Ireland,2019,640
VIC,Hong Kong,2019,560
QLD,India,2019,7680
QLD,China,2019,2360
QLD,New Zealand,2019,1190
QLD,Philippines,2019,3690
QLD,Nepal,2019,2260
QLD,Sri Lanka,2019,640
QLD,Bangladesh,2019,180
QLD,Pakistan,2019,450
QLD,Vietnam,2019,800
QLD,Indonesia,2019,360
QLD,Afghanistan,2019,200
QLD,South Africa,2019,1670
QLD,Iran,2019,590
QLD,Ireland,2019,10
QLD,Hong Kong,2019,240
SA,India,2019,4860
SA,China,2019,1400
SA,New Zealand,2019,50
SA,Philippines,2019,930
SA,Nepal,2019,890
SA,Sri Lanka,2019,440
SA,Bangladesh,2019,120
SA,Pakistan,2019,530
SA,Vietnam,2019,640
SA,Indonesia,2019,30
SA,Afghanistan,2019,500
SA,South Africa,2019,510
SA,Iran,2019,270
SA,Ireland,2019,20
SA,Hong Kong,2019,270
WA,India,2019,5110
WA,China,2019,820
WA,New Zealand,2019,-230
WA,Philippines,2019,1810
WA,Nepal,2019,780
WA,Sri Lanka,2019,540
WA,Bangladesh,2019,120
WA,Pakistan,2019,670
WA,Vietnam,2019,420
WA,Indonesia,2019,580
WA,Afghanistan,2019,280
WA,South Africa,2019,1060
WA,Iran,2019,230
WA,Ireland,2019,-180
WA,Hong Kong,2019,20
TAS,India,2019,670
TAS,China,2019,600
TAS,New Zealand,2019,20
TAS,Philippines,2019,150
TAS,Nepal,2019,220
TAS,Sri Lanka,2019,50
TAS,Bangladesh,2019,40
TAS,Pakistan,2019,150
TAS,Vietnam,2019,130
TAS,Indonesia,2019,30
TAS,Afghanistan,2019,40
TAS,South Africa,2019,70
TAS,Iran,2019,20
TAS,Ireland,2019,0
TAS,Hong Kong,2019,70
NT,India,2019,290
NT,China,2019,90
NT,New Zealand,2019,-30
NT,Philippines,2019,340
NT,Nepal,2019,210
NT,Sri Lanka,2019,130
NT,Bangladesh,2019,40
NT,Pakistan,2019,60
NT,Vietnam,2019,90
NT,Indonesia,2019,170
NT,Afghanistan,2019,0
NT,South Africa,2019,80
NT,Iran,2019,10
NT,Ireland,2019,-60
NT,Hong Kong,2019,10
ACT,India,2019,950
ACT,China,2019,120
ACT,New Zealand,2019,-30
ACT,Philippines,2019,240
ACT,Nepal,2019,170
ACT,Sri Lanka,2019,70
ACT,Bangladesh,2019,80
ACT,Pakistan,2019,110
ACT,Vietnam,2019,70
ACT,Indonesia,2019,-50
ACT,Afghanistan,2019,20
ACT,South Africa,2019,70
ACT,Iran,2019,60
ACT,Ireland,2019,0
ACT,Hong Kong,2019,20
NSW,India,2018,18530
NSW,China,2018,17090
NSW,New Zealand,2018,710
NSW,Philippines,2018,4380
NSW,Nepal,2018,14220
NSW,Sri Lanka,2018,680
NSW,Bangladesh,2018,1650
NSW,Pakistan,2018,3100
NSW,Vietnam,2018,2710
NSW,Indonesia,2018,1320
NSW,Afghanistan,2018,650
NSW,South Africa,2018,1380
NSW,Iran,2018,910
NSW,Ireland,2018,630
NSW,Hong Kong,2018,500
VIC,India,2018,23570
VIC,China,2018,16540
VIC,New Zealand,2018,1910
VIC,Philippines,2018,3300
VIC,Nepal,2018,3510
VIC,Sri Lanka,2018,3590
VIC,Bangladesh,2018,660
VIC,Pakistan,2018,2920
VIC,Vietnam,2018,2570
VIC,Indonesia,2018,1000
VIC,Afghanistan,2018,1480
VIC,South Africa,2018,910
VIC,Iran,2018,920
VIC,Ireland,2018,430
VIC,Hong Kong,2018,470
QLD,India,2018,5260
QLD,China,2018,5520
QLD,New Zealand,2018,1050
QLD,Philippines,2018,2220
QLD,Nepal,2018,1550
QLD,Sri Lanka,2018,420
QLD,Bangladesh,2018,190
QLD,Pakistan,2018,400
QLD,Vietnam,2018,730
QLD,Indonesia,2018,340
QLD,Afghanistan,2018,250
